일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
1918년 7월,23.3,83,237.2,2.4,8.4
1918년 8월,24.7,82,375.9,2.5,5.8
1918년 9월,19.2,74,52.6,2.2,5.5
1918년 10월,12.9,73,15.8,1.5,4
1918년 11월,4.6,69,64.3,2,4.8
1918년 12월,-1.5,63,9.4,1.7,4.9
1919년 1월,-4.7,64,19.2,2.6,5.6
1919년 2월,-1.7,66,7.7,1.8,4
1919년 3월,4.9,66,10.6,2.8,4.7
1919년 4월,10.2,67,58.3,3,4.9
1919년 5월,16.1,72,125.5,2.8,6.6
1919년 6월,21,82,203.2,2.3,7.6
1919년 7월,25.6,78,266.2,2.3,5.8
1919년 8월,26.3,73,248.8,2.5,6
1919년 9월,19.5,78,113.5,2,5.4
1919년 10월,12.8,80,64.6,1.8,4.6
1919년 11월,5.8,75,30.7,1.7,4.9
1919년 12월,-2.7,65,28,1.9,4
1920년 1월,-6.8,73,37,2.4,4.5
1920년 2월,-3.2,67,10.4,2.8,4.8
1920년 3월,5.1,63,20.1,2.9,5.9
1920년 4월,10.4,70,47.4,3.1,4.3
1920년 5월,17.3,71,93.8,2.7,5.9
1920년 6월,21.6,74,160.7,2.6,6.4
1920년 7월,25.2,82,484,2.2,7.7
1920년 8월,25,77,680.5,2.6,6.3
1920년 9월,21.1,76,49.6,2.2,6.2
1920년 10월,14.7,71,12.4,1.7,3.6
1920년 11월,7.3,76,48.7,1.6,4.3
1920년 12월,-1.2,68,29.8,1.9,5.1
1921년 1월,-2.7,72,14.5,1.9,4.5
1921년 2월,-1.3,60,19.3,2.4,3.8
1921년 3월,3.3,57,36.3,3.2,5.3
1921년 4월,10.9,65,72.5,3,5.5
1921년 5월,16.2,68,75.7,2.9,6.6
1921년 6월,20.1,69,143.3,2.8,7.3
1921년 7월,24,81,325.6,2.4,7.9
1921년 8월,25.6,77,109.1,2.4,6.6
1921년 9월,19.8,75,93,2.1,6.7
1921년 10월,12.3,75,27.9,1.9,3.9
1921년 11월,3.4,67,17.9,2.1,3.6
1921년 12월,-0.7,71,36.8,1.5,4.6
1922년 1월,-7.8,63,20.3,1.7,3
1922년 2월,0.7,69,80.5,2.4,4.9
1922년 3월,2.7,65,57.1,3,4.6
1922년 4월,12.3,62,28,3,5.2
1922년 5월,16,70,59.6,2.8,6.5
1922년 6월,21.7,69,93.3,2.4,6.2
1922년 7월,24.1,85,417.6,2.7,8.6
1922년 8월,25.8,83,580.4,2.2,7.9
1922년 9월,20.7,77,125,1.9,7.1
1922년 10월,14.1,74,42.3,1.9,5.1
1922년 11월,3.5,68,32.1,1.9,4.3
1922년 12월,-3.9,67,16.6,1.9,3.6
1923년 1월,-5.8,66,32,2.1,4.1
1923년 2월,-3,62,14,2.6,3.7
1923년 3월,4.8,68,64.1,2.7,5.9
1923년 4월,9.3,69,113.8,2.9,6.9
1923년 5월,16.6,68,44.3,2.8,6.4
1923년 6월,20.9,68,114,2.4,6.2
1923년 7월,24.2,78,215.6,2.8,8.2
1923년 8월,26.1,81,289.6,2.2,7.3
1923년 9월,19.4,74,158.2,1.9,5.4
1923년 10월,12.5,73,55.5,1.7,5.3
1923년 11월,4.7,72,66.3,2,5.4
1923년 12월,-2.1,65,27.3,2.4,3.6
1924년 1월,-2.5,67,13.6,2,4.7
1924년 2월,-1.8,62,76.8,3.3,5.7
1924년 3월,1.1,62,18.1,2.9,4.2
1924년 4월,11.1,68,94.5,2.9,5.4
1924년 5월,16,66,60.7,3.2,4.9
1924년 6월,21.2,68,124.9,2.6,4.7
1924년 7월,25.6,81,423.2,3.1,7.9
1924년 8월,27,66,13.4,3.2,4.6
1924년 9월,20.3,68,81.5,2.1,4.4
1924년 10월,12.6,65,33.2,1.9,3.9
1924년 11월,3.3,65,46.1,3.1,4.5
1924년 12월,-1.6,69,15,2,4.4
1925년 1월,-4.1,66,5.8,1.4,3.8
1925년 2월,-2.9,62,16.4,1.9,4.4
1925년 3월,1.5,65,40.9,2.4,4.4
1925년 4월,9.8,64,28,2.3,5
1925년 5월,16.1,73,187.5,2.1,7.1
1925년 6월,20.6,74,102.8,2.1,6.9
1925년 7월,23.3,78,841.1,2.5,7
1925년 8월,25.2,80,418,1.8,7.1
1925년 9월,19.8,73,157.9,1.8,5
1925년 10월,13.3,70,29.9,1.4,3.8
1925년 11월,7.4,71,57.6,1.6,4.8
1925년 12월,-1.4,69,48.2,2.1,5.6
1926년 1월,-4.8,68,28.8,1.6,4.4
1926년 2월,-2.5,64,9.4,1.8,4.4
1926년 3월,3.1,64,11.8,2.5,4.2
1926년 4월,9.1,65,82.4,2.7,4.4
1926년 5월,16.7,71,101,2.3,7.4
1926년 6월,20.7,65,34.1,2.4,5.8
1926년 7월,24.1,81,847.6,2,8.3
1926년 8월,25.4,82,372.1,1.8,7.9
1926년 9월,20.3,78,174.7,1.1,6.9
1926년 10월,11.5,70,109.3,1.6,4.6
1926년 11월,6.3,71,29.3,1,4
1926년 12월,-4,64,22,1.9,4.5
1927년 1월,-4.1,64,71.3,1.9,4.2
1927년 2월,-2.9,58,1.7,2.3,4.1
1927년 3월,3.4,67,58.2,2.2,5.4
1927년 4월,11.7,66,109.9,2.1,5.6
1927년 5월,13.8,73,125.5,2.5,5.9
1927년 6월,21.2,67,43.7,2.1,5.9
1927년 7월,25.7,84,369.2,2.2,7.7
1927년 8월,25,82,306,1.5,6.7
1927년 9월,19.6,69,40.8,1.5,3.2
1927년 10월,12.8,73,77.1,1.6,4.3
1927년 11월,7.7,71,22.7,1.6,3.1
1927년 12월,-2,68,43.6,1.9,4.7
1928년 1월,-5.2,68,62.6,2.1,4.3
1928년 2월,-2.3,62,8.2,2.1,4.7
1928년 3월,4.1,66,25.6,1.9,5.6
1928년 4월,12.1,64,25.1,1.7,6.3
1928년 5월,16.5,68,56,2.3,5.4
1928년 6월,21.5,68,117.2,1.9,6.7
1928년 7월,25,78,193.2,2.1,7.9
1928년 8월,25.7,69,228.2,2.1,5.2
1928년 9월,20.3,75,230.7,1.9,5.9
1928년 10월,12.3,71,26.3,1.4,3.9
1928년 11월,5.2,71,65.6,1.7,4.5
1928년 12월,-1.9,64,15.6,1.6,4.1
1929년 1월,-4.8,59,28.1,1.9,4.8
1929년 2월,-2.8,60,4.8,2,3.6
1929년 3월,4.4,60,12.8,2.6,3.9
1929년 4월,10.4,66,95.2,2.4,5.6
1929년 5월,16.7,71,44.6,2,6.9
1929년 6월,22.9,67,152.4,2.1,6.7
1929년 7월,25.9,80,315.1,2,7.8
1929년 8월,26.2,76,267.1,1.8,6.9
1929년 9월,18.8,71,73.6,1.5,4.5
1929년 10월,12.8,68,13.4,1.3,3.8
1929년 11월,4.9,70,18.7,1.3,4
1929년 12월,1.5,75,104.4,2.1,6.7
1930년 1월,-4.5,63,2.5,1.6,3.9
1930년 2월,0.9,66,49.1,2,5
1930년 3월,6.3,69,92.7,2.4,6.1
