일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
1956년 6월,19.7,80,417.5,2.5,7.4
1956년 7월,24.3,86,523.8,1.8,8
1956년 8월,24.8,73,47.2,2.1,6.2
1956년 9월,20.4,75,346,1.8,6.1
1956년 10월,12.8,66,29.7,1.8,4.2
1956년 11월,3.2,57,16.1,2.3,3.4
1956년 12월,-5.2,58,10.3,2.3,3.6
1957년 1월,-3.5,71,43.1,2,4
1957년 2월,-4.3,67,14.7,3.2,4.3
1957년 3월,0,65,16.7,2.9,4.6
1957년 4월,10.4,68,105.9,3.1,5.4
1957년 5월,16.9,66,60.5,2.6,5.4
1957년 6월,20.1,72,32.7,2.4,6.2
1957년 7월,22.4,87,474.8,2.5,8.6
1957년 8월,24.1,82,286.5,2.1,6.7
1957년 9월,18.9,65,4.5,1.8,4
1957년 10월,12.5,70,83.6,2,4.2
1957년 11월,8.3,68,20.5,2.1,3.5
1957년 12월,-0.5,70,76.8,2.4,4.1
1958년 1월,-6,70,55,2.8,4.5
1958년 2월,-0.8,71,7.7,2.2,4.4
1958년 3월,3.7,62,25.6,2.8,5.1
1958년 4월,10.8,64,142.3,2.9,6.4
1958년 5월,16.3,60,23.8,2.5,5.3
1958년 6월,22.2,63,39.3,2.1,6.1
1958년 7월,25.6,81,383.8,2.2,7.3
1958년 8월,23.8,78,193.9,1.9,7.5
1958년 9월,19.8,76,243.1,1.6,6.1
1958년 10월,12.7,69,120.1,2.1,4.6
1958년 11월,6.7,71,49.6,1.7,4.9
1958년 12월,4,72,41.2,2,5.4
1959년 1월,-5.1,62,3.9,2.6,3.5
1959년 2월,2.4,69,58,3.1,5.6
1959년 3월,6,68,163.6,2.9,5
1959년 4월,10.2,67,114.7,3.1,4.9
1959년 5월,17.9,63,91.2,2.3,5.5
1959년 6월,20.4,74,70.8,2.4,7.9
1959년 7월,24.4,83,323.1,2.2,7.1
1959년 8월,25.8,75,283,2.3,6.1
1959년 9월,20.8,75,142.9,1.6,7
1959년 10월,14.8,67,57.6,1.7,3
1959년 11월,5.8,69,27.9,1.9,4
1959년 12월,1.1,67,34.1,1.9,5
1960년 1월,-3.3,63,4.6,2.3,4.7
1960년 2월,1.7,64,4,2.5,4
1960년 3월,6.7,65,113.6,2.4,4.8
1960년 4월,10.6,59,19,2.8,4
1960년 5월,16.5,64,135.4,2.7,6.8
1960년 6월,20.6,74,296.9,2.2,6.9
1960년 7월,24.8,83,313.2,2.1,7.9
1960년 8월,26.2,73,138.1,2,6.7
1960년 9월,20.8,74,63.5,1.8,6.3
1960년 10월,15.1,66,7.9,1.3,4
1960년 11월,7.1,65,76.5,2.2,4.3
1960년 12월,-1.8,62,15.7,2.6,4.1
1961년 1월,-5.2,65,18,2.3,4.5
1961년 2월,-0.9,62,8.8,2.7,3.6
1961년 3월,5.4,64,40.8,2.8,4.8
1961년 4월,11.7,61,102.2,3.2,4.5
1961년 5월,17.3,67,123.6,2.5,6.2
1961년 6월,21.9,77,77.7,1.6,7.6
1961년 7월,26.2,86,267.8,1.9,8.2
1961년 8월,26.8,81,360.6,1.9,7.8
1961년 9월,21.5,75,295.1,1.6,5.1
1961년 10월,15.6,66,48.6,1.6,4.4
1961년 11월,8.9,67,57.8,2.5,5.3
1961년 12월,-0.6,68,35.6,1.7,3.9
1962년 1월,-3.4,60,1.2,1.9,3.3
1962년 2월,-0.7,66,25.7,1.9,4.3
1962년 3월,3.2,63,18.5,3,5.1
1962년 4월,10,66,91.6,3.1,5.2
1962년 5월,17.6,55,12.5,2.5,3.9
1962년 6월,21.1,69,110.3,2.1,7
1962년 7월,26.1,73,180,2.2,7.4
1962년 8월,25.1,83,193.2,2.1,7.8
1962년 9월,20.3,78,236.4,2.1,7
1962년 10월,13.6,68,36.8,1.4,3.6
1962년 11월,6.4,69,52.2,2.1,5.4
1962년 12월,1.1,73,27.8,1.9,4.2
1963년 1월,-9.1,67,13.3,2.9,2.6
1963년 2월,-2.4,73,2.6,2.7,2.8
1963년 3월,5.5,64,57.3,3,4.9
1963년 4월,11.4,71,221.1,3,7.2
1963년 5월,16.9,72,186.7,2.3,7.7
1963년 6월,21.2,76,383.7,2.3,7.3
1963년 7월,24.5,85,513.6,2.4,8.7
1963년 8월,25.7,77,126.5,1.9,6.2
1963년 9월,20.5,65,50.1,2.2,4.9
1963년 10월,13.5,65,32.1,1.9,2.9
1963년 11월,6.5,64,26.8,2.4,4
1963년 12월,0.8,69,12.8,2.4,4.9
1964년 1월,-0.1,69,20.3,2.3,5
1964년 2월,-3.5,67,27.1,2.6,4.6
1964년 3월,3.8,66,37.3,2.8,5.3
1964년 4월,14.1,73,338.8,2.8,6.7
1964년 5월,18.6,64,83.3,2.2,5
1964년 6월,21.6,71,112.5,2.1,6.1
1964년 7월,24.7,84,504.5,2.2,7.5
1964년 8월,26.3,77,220.3,2.6,6.5
1964년 9월,20.3,78,378.9,2,6.8
1964년 10월,13.8,65,40.6,1.3,5.1
1964년 11월,6.3,65,25.2,1.9,4.6
1964년 12월,0.2,65,5.2,2.2,3.7
1965년 1월,-4.2,66,19.1,2.7,3.5
1965년 2월,-1.2,59,2.4,2.9,3.4
1965년 3월,2.7,60,16.8,3.2,3.6
1965년 4월,10.3,57,10.4,3,5.1
1965년 5월,17.3,65,11.6,2.8,5.7
1965년 6월,22.1,67,23.8,2.1,5
1965년 7월,24.1,82,631.6,2.3,8.4
1965년 8월,24.4,84,319.4,2.2,7.8
1965년 9월,20.9,69,27,2.2,3.8
1965년 10월,14.8,70,63.7,2.1,3.9
1965년 11월,7,69,85,2.6,5.5
1965년 12월,-2,64,5.5,2.9,4.3
1966년 1월,-4.6,57,9.7,2.7,3.4
1966년 2월,0.1,67,29.4,2.8,6.2
1966년 3월,4.8,69,90.5,3.3,6.6
1966년 4월,11.8,62,35.7,2.8,5.9
1966년 5월,18.3,58,37.1,2.5,5.1
1966년 6월,20.5,77,179.8,2.1,7.1
1966년 7월,23.6,86,897.7,2.3,8.7
1966년 8월,26.7,80,272.8,1.9,6.4
1966년 9월,19.7,73,302.8,1.9,5.9
1966년 10월,14.4,72,74.9,2.3,5.8
1966년 11월,5.9,63,81.6,2.6,4.3
1966년 12월,-3,61,6.9,2.3,4.9
1967년 1월,-4.4,62,24.7,2.8,3
1967년 2월,-2.4,65,54.6,2.8,4.2
1967년 3월,4.8,67,88.2,2.9,5.6
1967년 4월,11.8,68,93.3,3,6.6
1967년 5월,19.3,64,59.6,2.3,4.9
1967년 6월,21.3,74,135.3,2.2,6.4
1967년 7월,25.5,80,283.8,2.3,7.5
1967년 8월,26.7,84,261.8,2.4,8.5
1967년 9월,20.7,69,158.1,2,5.5
1967년 10월,14.5,65,26.5,2.2,3.3
1967년 11월,6.5,65,53.3,2.6,5.5
1967년 12월,-4.9,66,9.6,2.6,4.3
1968년 1월,-4,65,11.3,3,3.9
1968년 2월,-4.4,63,12.5,2.9,3.1
1968년 3월,4.4,65,56.1,3.2,4.7
1968년 4월,12.6,54,45.2,2.9,4.3
1968년 5월,17.2,67,53.4,2.7,6.4
1968년 6월,21,71,41.1,2.5,5.5
1968년 7월,24.7,81,412.4,2.4,7.8
1968년 8월,24.9,75,362.8,2.4,6
1968년 9월,20.9,71,126.3,2.3,5.1
1968년 10월,13,71,101.8,2.2,4.7
1968년 11월,7.6,76,54.2,2.4,5.1
1968년 12월,3.1,72,11.1,2.6,5.9
1969년 1월,-3.5,69,62.2,2.7,5.6
1969년 2월,-2.7,69,59.2,2.8,6
1969년 3월,2.9,62,13.7,2.9,5.1
1969년 4월,10.6,69,219.3,3.1,6.1
1969년 5월,16.4,68,255.2,2.5,5.8
1969년 6월,20,71,31.8,2.3,6.3
1969년 7월,24,79,345.9,2.7,8.9
1969년 8월,24.8,83,455.1,2.5,7
1969년 9월,20.8,78,230,1.9,7.4
1969년 10월,13.9,65,18.4,2.1,3.6
1969년 11월,5,68,28.4,2.5,5
1969년 12월,-2,67,17.6,2.7,4.4
1970년 1월,-4.8,65,5.9,2.5,3.1
1970년 2월,-0.2,64,49.2,2.9,5.1
1970년 3월,0.4,59,12.7,3.2,4.2
1970년 4월,12.2,52,7.5,2.9,4.8
1970년 5월,18.7,63,84,2.7,5.5
1970년 6월,20.5,74,249.8,2.3,7.5
1970년 7월,23,86,425.6,2.3,8.9
1970년 8월,25.9,81,195.9,2.6,7.1
1970년 9월,21.2,80,461.2,2,6.6
1970년 10월,14.9,74,153.1,1.9,3.5
1970년 11월,5.7,72,42.8,2.5,3.9
1970년 12월,-1,68,20.5,2.6,4.2
1971년 1월,-2.4,72,19.3,2.4,4.7
1971년 2월,-0.7,65,26,2.7,4.5
1971년 3월,2,65,42.2,3.4,4.8
1971년 4월,11.2,57,52.7,2.7,3.8
1971년 5월,16.6,70,121.6,2.6,5.3
1971년 6월,21.6,82,135.8,2.2,6.9
1971년 7월,23.9,88,530.3,2.5,8.4
1971년 8월,24.6,80,223.2,2.2,6.6
1971년 9월,20.6,73,159.8,2.2,5.3
1971년 10월,13,67,12.8,1.9,3
1971년 11월,8.7,72,19.5,2.2,4.2
1971년 12월,-1.2,65,16.5,2.8,3.9
1972년 1월,0.8,75,62.6,2.7,6
1972년 2월,-0.6,69,32.6,2.8,6.2
1972년 3월,5.3,74,76.8,2.8,5.1
1972년 4월,11.5,66,23.4,2.8,5.9
1972년 5월,16.4,66,85.3,3,5.5
1972년 6월,21.7,72,28,2.5,5.9
1972년 7월,25.7,78,230.8,2.4,6.2
1972년 8월,23.1,83,881.8,2.6,7.1
1972년 9월,19,78,133.6,2.3,5.7
1972년 10월,13.8,77,82.6,2.4,4.2
1972년 11월,5.2,76,125.4,2.6,5.6
1972년 12월,0.6,69,6.7,2.4,5.1
1973년 1월,0.4,74,56.9,2.2,5.2
1973년 2월,0.6,64,3.7,2.8,4.2
1973년 3월,4.5,61,13.7,3.2,4.2
1973년 4월,12.4,72,133,3.3,6
1973년 5월,17.4,65,82.5,3.1,5.5
1973년 6월,21.4,76,107.9,2.3,7.6
1973년 7월,26.8,85,191.3,2.3,6.3
1973년 8월,25.9,89,188.4,2.4,7.2
1973년 9월,20.3,76,88.1,2,5.4
1973년 10월,13,67,26.5,2.2,4.6
1973년 11월,4.7,67,24.7,2.9,4.2
1973년 12월,-3,66,11.4,2.8,3.1
1974년 1월,-2.4,64,15.1,2.1,2.6
1974년 2월,-2.1,66,23.8,2.7,5.2
1974년 3월,3.7,69,27.7,3,5.4
1974년 4월,10.7,66,144.8,3.5,5.7
1974년 5월,16.7,68,239.8,2.7,5.7
1974년 6월,19.7,73,64.3,2.6,6.2
1974년 7월,23.5,82,256.9,2.1,8.5
1974년 8월,25.1,80,319,2.4,6.2
1974년 9월,20.6,74,96.3,2.1,4.6
1974년 10월,12.6,72,36.2,2.2,4.9
1974년 11월,5.4,64,10.6,2.2,3.9
1974년 12월,-0.5,64,16.2,2.3,4.5
1975년 1월,-2.7,62,17.4,2.7,3.5
1975년 2월,-0.8,57,6.4,3,4
1975년 3월,4.4,70,64.2,2.8,4.4
1975년 4월,13.3,63,103,2.9,6.1
1975년 5월,16.7,66,83.7,2.3,5.7
1975년 6월,21.4,75,50.5,1.9,6.5
1975년 7월,24.9,83,384.5,2.1,8.5
1975년 8월,27,73,96.2,1.7,5.2
1975년 9월,22.6,74,181.3,1.9,6.5
1975년 10월,15.4,67,21,1.7,4.8
1975년 11월,9,62,36.3,2.4,4.5
1975년 12월,-1.6,58,22.9,2.3,2.4
1976년 1월,-3.8,57,4,3,3.3
1976년 2월,2.8,65,108.3,2.6,5.4
1976년 3월,4.8,60,6.8,2.7,4.8
1976년 4월,11.3,56,58.4,2.5,4.7
1976년 5월,16.7,57,41.5,2.5,4.5
1976년 6월,21.3,67,49.2,2.1,6.2
1976년 7월,23.1,74,176.7,2.3,7.6
1976년 8월,23.7,82,462.3,2,8.1
1976년 9월,19.9,70,78.7,1.8,4.5
1976년 10월,13.7,68,60.7,1.8,4.6
1976년 11월,3.5,67,30.7,2.4,4.3
1976년 12월,0.4,69,32.2,2.6,4.6
1977년 1월,-6.7,60,2.2,2.6,3.2
1977년 2월,-2.4,61,0.2,3.1,3.1
1977년 3월,5.4,62,36.5,2.9,5
1977년 4월,12.5,67,228.8,2.9,5
1977년 5월,17.4,67,63.7,2.1,5.2
1977년 6월,22.5,68,46.4,2.1,5.8
1977년 7월,26,81,405.4,1.9,7.1
1977년 8월,24.6,66,101,2.3,6.1
1977년 9월,21.5,70,96.2,2,6.4
1977년 10월,16.7,71,15.7,1.7,3.1
1977년 11월,7.6,69,96,2.3,5.1
1977년 12월,2.4,74,55.4,2.1,5.5
1978년 1월,-2.4,67,11.6,2.4,4.5
1978년 2월,-2.5,65,13.6,2.8,3.9
1978년 3월,4.2,64,52.2,2.9,4.2
1978년 4월,11.5,55,13,3.2,4.6
1978년 5월,18.5,53,25.4,2.5,3.5
1978년 6월,21.9,72,374.7,2.1,6.6
1978년 7월,26.4,81,242.2,1.6,6.7
1978년 8월,25.8,81,270.7,2.1,7.3
1978년 9월,20.9,72,80.9,2,5.9
1978년 10월,14.5,65,40,1.8,3.8
1978년 11월,7.9,64,7.5,2,4.1
1978년 12월,1.6,66,29.1,2.2,4.7
1979년 1월,0.9,66,19.6,2.6,4.9
1979년 2월,0.6,64,32.6,2.9,4.8
1979년 3월,6,61,60.3,2.9,4.5
1979년 4월,11.2,59,138.6,3.2,5
1979년 5월,16.5,67,116,2.5,4
1979년 6월,21.4,83,354.4,2.2,7.6
1979년 7월,24.3,81,204.3,2.4,7.7
1979년 8월,25.4,78,237.8,2.1,5.8
1979년 9월,20.1,73,46.8,1.7,5.7
1979년 10월,15.9,67,3.5,2.2,2.8
1979년 11월,5.7,62,30,2.7,4.1
1979년 12월,1.4,71,35.5,2.2,4.8
1980년 1월,-3.7,65,28,3,4.5
1980년 2월,-3.1,64,5,2.8,3.2
1980년 3월,5.2,63,32.8,2.9,5
1980년 4월,10.1,65,216.7,3.2,5.5
1980년 5월,16.5,65,90.3,3.1,4.4
1980년 6월,21.6,76,118.8,2.7,6.8
1980년 7월,22.7,80,259.2,2.2,8.2
1980년 8월,22.8,76,331.5,2.2,8
1980년 9월,19.6,66,58.3,2.1,4.6
1980년 10월,13,62,44.9,2.4,3.8
1980년 11월,8.6,65,10.6,2.2,5.1
1980년 12월,-3.8,64,46.3,2.8,3.3
1981년 1월,-7,66,21,2.4,3.1
1981년 2월,-1.4,65,12,2.6,5.3
1981년 3월,5.7,61,55.4,2.9,4.1
1981년 4월,11.9,66,55.4,2.8,5.1
1981년 5월,15.9,69,80.8,3.4,5.8
1981년 6월,21.8,67,109.1,2.5,6.3
1981년 7월,25.4,82,463.8,2.6,7.7
1981년 8월,24.5,76,192.9,2.2,6.4
1981년 9월,20,72,129,2.3,5
1981년 10월,13.4,67,34.1,2.7,4.9
1981년 11월,3.6,59,46.7,2.4,4.6
1981년 12월,0.1,65,16,2.3,3.8
1982년 1월,-3.5,63,26,2.7,3.7
1982년 2월,0.6,62,2.9,2.5,4
1982년 3월,5.9,61,46,2.9,4.4
1982년 4월,12.3,53,8.1,2.9,4.4
1982년 5월,17.9,68,134.6,2.9,6.3
1982년 6월,21.9,67,15.7,2.4,6
1982년 7월,25.1,73,195.5,2.4,6.4
1982년 8월,25.4,81,255.8,2.4,7.5
1982년 9월,20.8,61,4.8,2,4.3
1982년 10월,15.8,65,46.5,2.1,4
1982년 11월,7.9,66,164.8,2.3,4.8
1982년 12월,-0.1,65,48.6,2.5,4.7
1983년 1월,-1.7,64,11.1,2.4,4.1
1983년 2월,-1.7,58,11.7,3.1,4.1
1983년 3월,6.4,60,67.5,2.5,5.1
1983년 4월,13.6,57,113.4,3.4,5.6
1983년 5월,18.5,62,69,2.5,5.6
1983년 6월,22.2,65,27.4,2.5,5.8
1983년 7월,23.6,83,398.6,2.6,8.8
1983년 8월,26,75,132.2,2.4,7.2
1983년 9월,22,74,253.4,1.8,6.9
1983년 10월,14.2,69,82.2,2,5.9
1983년 11월,6.7,63,28.7,2.5,4.7
1983년 12월,-1.1,56,9.9,2.4,3.1
1984년 1월,-5.9,53,10.7,2.1,3.6
1984년 2월,-3.5,50,14.9,2.9,3.7
1984년 3월,2.5,55,11.4,3.3,5.3
1984년 4월,12.1,61,41.8,2.8,6
1984년 5월,18.2,64,35.2,2.7,5.4
1984년 6월,22.6,71,105.5,2.5,6.4
1984년 7월,25.2,81,269.9,2.4,7.3
1984년 8월,26.3,79,330.9,2.3,7
1984년 9월,20.1,75,348.1,2.1,6.1
1984년 10월,13.8,67,21.4,2.4,3.4
1984년 11월,8.1,69,35.5,2.2,4.5
1984년 12월,-0.9,67,24.2,2.5,4.7
1985년 1월,-5.9,63,31.2,2.5,4
1985년 2월,-0.3,69,25.9,2.8,5.5
1985년 3월,4.3,60,57.8,2.9,4.9
1985년 4월,11.6,62,69,2.9,5.1
1985년 5월,18.1,67,177.4,2.4,6
1985년 6월,22.1,71,85.4,2.2,6.4
1985년 7월,25.3,81,185.2,2.4,7.4
1985년 8월,26.3,80,438.9,2.2,7
1985년 9월,20.2,79,171.7,2.1,7.5
1985년 10월,14.7,73,177.8,2.1,5.9
1985년 11월,5.6,73,82.4,2.5,5.5
1985년 12월,-3.4,67,41.9,2.6,3.8
1986년 1월,-5.4,68,11.7,2.5,3.4
1986년 2월,-3.3,65,8.3,2.8,3.2
1986년 3월,4.9,68,44.3,2.6,4.2
1986년 4월,11.9,56,20.6,3.1,4.3
1986년 5월,17.1,66,71.5,2.8,5.2
1986년 6월,21.9,74,117.1,2.2,6.6
1986년 7월,23.5,80,351.8,2.2,7.6
1986년 8월,24.5,78,370.3,2.3,6.8
1986년 9월,19.9,74,101,2.1,5.9
1986년 10월,12.7,70,79.6,2,5.5
1986년 11월,5.2,64,39.3,2.2,4.3
1986년 12월,1.9,70,31.9,2.3,5.5
1987년 1월,-3,63,43.4,2.6,4
1987년 2월,-0.1,65,36.2,2.9,4.7
1987년 3월,4,66,34.2,3.1,5.5
1987년 4월,10.8,62,55.3,2.7,4.7
1987년 5월,17,65,126.6,2.5,5.2
1987년 6월,22.4,66,130.3,2.2,5.9
1987년 7월,23.7,83,651.2,2.5,8
1987년 8월,24.4,85,521.8,2.1,7.5
1987년 9월,20.1,69,61.1,2.2,4.5
1987년 10월,15.5,65,21.9,2.1,4.2
1987년 11월,7.5,62,66.8,2.4,4.6
1987년 12월,0.9,59,2.6,2.3,3.6
1988년 1월,-2.1,60,3.3,2.7,4.1
1988년 2월,-1.5,55,4.5,2.9,4.1
1988년 3월,4.3,52,31.3,2.8,4.8
1988년 4월,11.3,56,60.5,3.1,4.3
1988년 5월,17.9,54,42.8,2.4,5.1
1988년 6월,22.3,70,73.7,2.5,5.6
1988년 7월,24.4,78,382.3,2.5,8
1988년 8월,26.4,72,81.3,2.2,5.4
1988년 9월,21.4,66,39.7,1.8,4.6
1988년 10월,15,58,8.4,2,3.6
1988년 11월,5.5,55,21.1,2.5,2.2
1988년 12월,0.1,59,11.9,2.5,4.3
1989년 1월,0.8,70,44.6,2.3,6
1989년 2월,2.4,57,32.7,2.4,4.3
1989년 3월,6.1,62,116.7,2.9,4.5
1989년 4월,14.3,48,14,2.5,3.6
1989년 5월,17.9,64,41.1,2.8,5.1
1989년 6월,21.2,67,177.1,2.4,5.8
1989년 7월,24.5,79,343.5,2.1,6.8
1989년 8월,25.5,72,329.4,2.3,5.8
1989년 9월,20.7,74,101.2,2.1,6.1
1989년 10월,13.6,66,69.9,2.1,3.6
1989년 11월,7.1,67,154.5,2.5,4.4
1989년 12월,1.4,68,12.4,2.1,3.8
1990년 1월,-3.2,61,62.2,2.4,4.5
1990년 2월,2.7,72,64.8,2.2,6.3
1990년 3월,7.2,65,92.3,2.7,5
1990년 4월,11.3,64,94.2,3,5
1990년 5월,16.2,74,122.8,2.7,6.7
1990년 6월,20.7,81,497.2,2.4,7.5
1990년 7월,24.9,85,486.5,2.3,7.8
1990년 8월,26.4,77,283.5,2,5.1
1990년 9월,21.1,74,570.1,1.9,5.5
1990년 10월,15.4,63,0,1.8,2.4
1990년 11월,10,71,56,2.1,4.2
1990년 12월,0.8,68,25.9,2.7,4.3
1991년 1월,-2.6,63,14.4,2.2,3
1991년 2월,-0.9,61,28.4,2.7,4.3
1991년 3월,4.9,64,65.5,2.7,5.3
1991년 4월,13,56,48.5,2.6,3.4
1991년 5월,17.5,60,83.2,2.9,4.4
1991년 6월,22.6,70,81.8,2.4,6.1
1991년 7월,24.3,84,487.8,2.3,7.4
1991년 8월,25.5,71,68.2,2,4.9
1991년 9월,21.1,70,175.2,1.7,5.3
1991년 10월,13.8,61,27.3,2,2.8
1991년 11월,6.5,59,35,2.1,3.5
1991년 12월,2.2,69,42.9,2.2,5.4
1992년 1월,-0.2,68,13.6,2.1,3.7
1992년 2월,0.7,62,46.6,2.5,3.2
1992년 3월,7.6,58,11.2,2.3,5.1
1992년 4월,12,59,76.5,2.7,4.7
1992년 5월,16.4,65,155.5,2.6,4.5
1992년 6월,20.9,66,99.6,2.5,5.2
1992년 7월,24.8,81,270.1,2.6,7.9
1992년 8월,24.8,77,418.8,1.5,6.2
1992년 9월,20.9,71,168.5,1.8,5.3
1992년 10월,14,70,33.6,1.5,4
1992년 11월,6.2,67,89.5,1.9,4.1
1992년 12월,1.5,65,71.4,2,4.4
1993년 1월,-1.9,62,2.2,2.2,3.8
1993년 2월,1,63,69.5,3.1,3.8
1993년 3월,5.8,63,29.2,2.6,4.1
1993년 4월,10.6,63,85.5,3.1,3.9
1993년 5월,18.2,64,135.7,2.4,5.4
1993년 6월,21.3,78,198.2,2.2,6.9
1993년 7월,23.3,77,424.4,2.1,6.7
1993년 8월,23.2,80,197.8,2,6.5
1993년 9월,21.2,67,56.1,2,4
1993년 10월,13.4,61,15.4,2.2,2.9
1993년 11월,8.5,70,66.6,2.4,5.5
1993년 12월,-0.2,62,12.1,2.5,3.6
1994년 1월,-0.9,58,6.5,2.3,4.5
1994년 2월,0.8,55,14.8,2.5,3.8
1994년 3월,4,60,31.7,3.2,4
1994년 4월,15.2,53,44.9,2.4,4.4
1994년 5월,17.9,67,152.4,2.8,4.9
1994년 6월,22.8,68,85,2.2,5.5
1994년 7월,28.5,79,139.5,2.1,6.1
1994년 8월,27.6,76,232.7,2.2,6
1994년 9월,21,69,60.7,1.9,3.8
1994년 10월,15.2,71,214.5,2,4.1
1994년 11월,9.3,63,49.6,2,4.1
1994년 12월,1.1,60,23.5,2.3,4.1
1995년 1월,-2.1,52,11.6,2.6,2.9
1995년 2월,1.2,56,5.2,2.2,2.2
1995년 3월,6,64,60.6,2.8,5.4
1995년 4월,11.3,54,44.4,3.1,3.8
1995년 5월,17.1,58,60.6,2.7,4.7
1995년 6월,21.6,71,70.7,2,6.2
1995년 7월,24.5,81,436.1,2.5,7.6
1995년 8월,26,85,786.6,2.4,7.4
1995년 9월,20,68,47.2,1.6,4.9
1995년 10월,15.5,61,39.3,1.7,4.1
1995년 11월,6.2,57,32.9,2.3,2.6
1995년 12월,-1,55,3.4,2.2,2.8
1996년 1월,-2.2,51,16.3,2.4,3.6
1996년 2월,-1.6,47,1,2.7,3
1996년 3월,4.9,54,77.9,2.7,5.2
1996년 4월,10.2,52,62,3,3.8
1996년 5월,18.4,58,29.3,2.2,4.2
1996년 6월,22.3,75,249.7,1.9,8.1
1996년 7월,24.4,76,512.8,1.9,7.6
1996년 8월,26,73,132.4,1.7,6.2
1996년 9월,22,66,11,1.8,3.9
1996년 10월,14.5,63,90.3,2,4.3
1996년 11월,6.1,64,62.9,2.2,4.5
1996년 12월,1.6,59,11,2.2,3.6
1997년 1월,-3.3,58,16.8,2.6,3.2
1997년 2월,0.7,54,39.6,2.6,2.6
1997년 3월,6.8,56,25.3,2.8,3.2
1997년 4월,13,55,56.1,2.7,3.8
1997년 5월,17,66,291.3,2.5,6.3
1997년 6월,23.4,65,110,2.1,4.8
1997년 7월,26.1,80,299.6,1.9,5.8
1997년 8월,26.8,71,117.2,2.2,4.9
1997년 9월,20.2,63,76.9,2,3.9
1997년 10월,13.4,55,45.5,2.4,2.4
1997년 11월,8.8,61,93.8,2,4
1997년 12월,1.8,59,38.1,2.1,4.2
1998년 1월,-1.3,59,10.4,2.4,4
1998년 2월,3.4,59,32.3,2.4,4.1
1998년 3월,7.3,58,45.1,2.8,3.6
1998년 4월,15.6,65,120.2,2.2,5.5
1998년 5월,19,59,121.5,2.2,5.1
1998년 6월,21.9,67,234.1,2.1,6.3
1998년 7월,24.9,75,311.8,2.5,7
1998년 8월,25,79,1237.8,2,7.5
1998년 9월,23,70,177.9,1.8,5
1998년 10월,17,67,27.4,1.9,4.7
1998년 11월,7.3,61,26.9,2.2,3.5
1998년 12월,2.3,60,3.7,2.2,2.8
1999년 1월,-0.8,58,10.2,2.6,3
1999년 2월,0.7,60,2.9,2.8,4
1999년 3월,6.7,50,55,2.5,4.9
1999년 4월,13.9,59,97.2,2.6,4.4
1999년 5월,17.5,66,109.7,2.2,4.2
1999년 6월,23.1,68,131.8,1.8,5.2
1999년 7월,25.9,73,230.4,2.1,7.5
1999년 8월,26,74,600.5,1.2,6.4
1999년 9월,22.9,76,377.3,1.3,6.7
1999년 10월,14.3,71,81.6,1.1,4.9
1999년 11월,7.9,65,19.5,1.3,3.6
1999년 12월,0.4,64,17,1.2,3
2000년 1월,-2.1,64,42.8,2.6,4.2
2000년 2월,-1.7,56,2.1,2.7,3.2
2000년 3월,6.3,55,3.1,3,3.9
2000년 4월,11.9,56,30.7,2.9,5
2000년 5월,17.5,66,75.2,2.3,6
2000년 6월,23.7,65,68.1,1.9,6
2000년 7월,26.8,74,114.7,2.1,6.8
2000년 8월,26.2,79,599.4,1.7,6.6
2000년 9월,20.7,71,178.5,1.7,6
2000년 10월,14.9,64,18.1,1.5,4.7
2000년 11월,7,57,27.1,1.8,4.3
2000년 12월,0.9,58,27,2.2,4
2001년 1월,-4.1,62,39.4,2.2,4.1
2001년 2월,-0.3,60,45.7,2.1,4.4
2001년 3월,5,51,18.1,2.8,4.4
2001년 4월,13.6,50,12.3,2.5,4.2
2001년 5월,19.1,61,16.5,2.1,5.1
2001년 6월,22.5,71,157.4,1.6,6.6
2001년 7월,25.9,76,698.4,1.4,7.2
2001년 8월,26.5,69,252,1,4.8
2001년 9월,22.5,58,49.3,1.1,3.9
2001년 10월,16.5,65,68.2,1.3,3.9
2001년 11월,7,58,13,1.7,2.7
2001년 12월,-0.6,49,15.7,2.1,3.1
2002년 1월,0.3,63,37.4,2.3,4.1
2002년 2월,2.9,55,2.4,2,3.8
2002년 3월,7.6,55,31.5,2.1,4.3
2002년 4월,13.6,53,155.1,2.3,3.8
2002년 5월,18.2,62,58,2.3,4.8
2002년 6월,22.2,62,61.4,2,4.5
2002년 7월,25.2,74,220.6,2.1,7.1
2002년 8월,24.2,79,688,2,8.1
2002년 9월,21.6,67,61.1,1.6,4.8
2002년 10월,12.8,60,45,2,3.7
2002년 11월,4,56,12.5,2.4,3.7
2002년 12월,1.7,60,15,2.2,5
2003년 1월,-2.5,60,14.1,2.5,3.8
2003년 2월,2.7,62,39.6,2.2,4.6
2003년 3월,6.5,58,26.8,2.3,5.4
2003년 4월,13.2,60,139.6,2.5,5.4
2003년 5월,19.6,57,106,1.8,4.4
2003년 6월,21.5,69,156,2,6.7
2003년 7월,23.8,75,469.8,1.8,7.6
2003년 8월,24.1,77,684.2,1.4,7.6
2003년 9월,20.9,72,258.2,1.1,6.3
2003년 10월,13.9,61,41.5,2,3.4
2003년 11월,9.5,66,69.3,2,5.4
2003년 12월,0.7,59,6.9,2.4,3.1
2004년 1월,-1.5,59,19.8,2.1,3.3
