연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2005,0,1,0,0,0,0,0,0,0,0,0,1,2,93
2006,0,2,0,0,0,0,0,0,0,0,0,1,3,83
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,108
2008,0,0,0,0,0,0,0,0,0,0,0,1,1,102
2009,0,0,0,0,0,0,0,0,0,0,0,2,2,92
2010,6,0,0,0,0,0,0,0,0,0,0,5,11,45
2011,5,0,0,0,0,0,0,0,0,0,0,0,5,73
2012,1,4,0,0,0,0,0,0,0,0,0,3,8,62
2013,5,3,0,0,0,0,0,0,0,0,0,0,8,61
2014,0,0,0,0,0,0,0,0,0,0,0,1,1,101
2015,0,1,0,0,0,0,0,0,0,0,0,0,1,100
2016,5,0,0,0,0,0,0,0,0,0,0,0,5,72
2017,1,0,0,0,0,0,0,0,0,0,0,2,3,82
2018,7,3,0,0,0,0,0,0,0,0,0,1,11,44
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,107
2020,0,0,0,0,0,0,0,0,0,0,0,2,2,91
2021,5,0,0,0,0,0,0,0,0,0,0,3,8,60
2022,0,0,0,0,0,0,0,0,0,0,0,4,4,77
2023,2,0,0,0,0,0,0,0,0,0,0,5,7,65
